pn_id,vol_raw_usd,vol_norm,lot_count,breadth_norm,line_count,avg_line_usd,ticket_norm,cat_liq_norm,pn_liquidity,flags
00171RL,0.000000,0.000000,3,0.300000,3,0.000000,0.000000,0.000000,0.090000,
0110702801FRE,33.600000,0.000000,1,0.100000,1,33.600000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
018CFM,0.069530,0.000000,1,0.100000,1,0.069530,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
02J1CF,1.750000,0.000000,1,0.100000,1,1.750000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
0MCT3Y,4.950000,0.000000,1,0.100000,1,4.950000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
0PTIC,7.191500,0.000000,1,0.100000,2,3.595750,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
0W508F,13.770000,0.000000,1,0.100000,1,13.770000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
1010550RU,37.380000,0.000000,1,0.100000,1,37.380000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
1010X670X210,0.010000,0.000000,1,0.100000,1,0.010000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
1011025HS,7.360000,0.000000,1,0.100000,1,7.360000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
10210RU,48.050000,0.000000,1,0.100000,1,48.050000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
1035451H5,8.490000,0.000000,1,0.100000,1,8.490000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
108R00909,10.300000,0.000000,1,0.100000,1,10.300000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
1119035M,12.160000,0.000000,1,0.100000,1,12.160000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
150MM,27.624897,0.000000,1,0.100000,4,6.906224,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
1707FPF,44.560000,0.000000,1,0.100000,1,44.560000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
18842RMK,0.010000,0.000000,1,0.100000,1,0.010000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
1908FPT,23.760000,0.000000,1,0.100000,1,23.760000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
1908FTP,1.320000,0.000000,1,0.100000,1,1.320000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
20225RMK,0.010000,0.000000,1,0.100000,1,0.010000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
20977RMK,0.010000,0.000000,1,0.100000,1,0.010000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
2100AP,10.690000,0.000000,1,0.100000,1,10.690000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
210AOSD,31.454841,0.000000,1,0.100000,1,31.454841,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
21299RMK,0.010000,0.000000,1,0.100000,1,0.010000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
220103308001H,20.090000,0.000000,1,0.100000,1,20.090000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
220103308103F,20.790000,0.000000,1,0.100000,1,20.790000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
2248760300FRE,42.300000,0.000000,1,0.100000,1,42.300000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
230513B10XL,45.650000,0.000000,1,0.100000,1,45.650000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
2318767W08,43.650000,0.000000,1,0.100000,1,43.650000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
2318768W10,71.230000,0.000000,1,0.100000,2,35.615000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
260513B10XL,16.100000,0.000000,1,0.100000,1,16.100000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
27994H5,23.540000,0.000000,1,0.100000,1,23.540000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
27995H5,7.490000,0.000000,1,0.100000,1,7.490000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
280756001FRE,31.430000,0.000000,1,0.100000,1,31.430000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
280787000FRE,18.510000,0.000000,1,0.100000,1,18.510000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
280791000FRE,31.430000,0.000000,1,0.100000,1,31.430000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
280863000FRE,7.860000,0.000000,1,0.100000,1,7.860000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
2L5202U,22.520000,0.000000,1,0.100000,1,22.520000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
2RM24VAC,0.030884,0.000000,1,0.100000,1,0.030884,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
35G0,22.058891,0.000000,1,0.100000,1,22.058891,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
36204RU,37.160000,0.000000,1,0.100000,1,37.160000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
370332000FRE,42.010000,0.000000,1,0.100000,1,42.010000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
370344000FRE,11.790000,0.000000,1,0.100000,1,11.790000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
