part_number,raw_photo_path,raw_width,raw_height,min_dimension,bucket,enhanced_photo_path,enhanced_generated,photo_ready_for_future_cloud,next_action
PIP-003,D:\BIRETOS\projects\biretos-automation\downloads\photos\PIP-003.jpg,800,800,800,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PIP-003__catalog_placeholder_v1__efbe489a.jpg,True,True,keep_enhanced
PP11L,D:\BIRETOS\projects\biretos-automation\downloads\photos\PP11L.jpg,1280,720,720,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PP11L__catalog_placeholder_v1__307e8ec7.jpg,True,True,keep_enhanced
PRECISION,D:\BIRETOS\projects\biretos-automation\downloads\photos\PRECISION.jpg,1200,630,630,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PRECISION__catalog_placeholder_v1__5c7b70d5.jpg,True,True,keep_enhanced
PRECITHION,D:\BIRETOS\projects\biretos-automation\downloads\photos\PRECITHION.jpg,300,274,274,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PRECITHION__catalog_placeholder_v1__b8b7db0d.jpg,True,False,upscale_then_review
PRECITION,D:\BIRETOS\projects\biretos-automation\downloads\photos\PRECITION.jpg,622,797,622,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PRECITION__catalog_placeholder_v1__4e8be262.jpg,True,True,keep_enhanced
PROFI-O,D:\BIRETOS\projects\biretos-automation\downloads\photos\PROFI-O.jpg,630,630,630,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PROFI-O__catalog_placeholder_v1__bdd233dd.jpg,True,True,keep_enhanced
PTSRB0101V3,D:\BIRETOS\projects\biretos-automation\downloads\photos\PTSRB0101V3.jpg,680,680,680,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PTSRB0101V3__catalog_placeholder_v1__e4dd4bd3.jpg,True,True,keep_enhanced
PW5K1ENC3E,D:\BIRETOS\projects\biretos-automation\downloads\photos\PW5K1ENC3E.jpg,667,467,467,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PW5K1ENC3E__catalog_placeholder_v1__c81b82cc.jpg,True,True,keep_enhanced
R4343E1048-ST005,D:\BIRETOS\projects\biretos-automation\downloads\photos\R4343E1048-ST005.jpg,534,400,400,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\R4343E1048-ST005__catalog_placeholder_v1__b1508572.jpg,True,True,keep_enhanced
RA100Z,D:\BIRETOS\projects\biretos-automation\downloads\photos\RA100Z.jpg,552,770,552,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\RA100Z__catalog_placeholder_v1__6cd87e79.jpg,True,True,keep_enhanced
RDU300504,D:\BIRETOS\projects\biretos-automation\downloads\photos\RDU300504.jpg,500,500,500,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\RDU300504__catalog_placeholder_v1__34ed4011.jpg,True,True,keep_enhanced
